"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2008 General Election","BEDFORD","President of the United States","StateWide","Independent","NADER                    , RALPH","164","0","0","","","","","","","","",""
"2008 General Election","BEDFORD","President of the United States","StateWide","Libertarian","BARR                     , BOB","96","0","0","","","","","","","","",""
"2008 General Election","BERKS","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","97,047","0","0","","","","","","","","",""
"2008 General Election","BERKS","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","80,513","0","0","","","","","","","","",""
"2008 General Election","BERKS","President of the United States","StateWide","Independent","NADER                    , RALPH","1,614","0","0","","","","","","","","",""
"2008 General Election","BERKS","President of the United States","StateWide","Libertarian","BARR                     , BOB","826","0","0","","","","","","","","",""
"2008 General Election","BLAIR","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","19,813","0","0","","","","","","","","",""
"2008 General Election","BLAIR","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","32,708","0","0","","","","","","","","",""
"2008 General Election","BLAIR","President of the United States","StateWide","Independent","NADER                    , RALPH","335","0","0","","","","","","","","",""
"2008 General Election","BLAIR","President of the United States","StateWide","Libertarian","BARR                     , BOB","246","0","0","","","","","","","","",""
"2008 General Election","BRADFORD","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","10,306","0","0","","","","","","","","",""
"2008 General Election","BRADFORD","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","15,057","0","0","","","","","","","","",""
"2008 General Election","BRADFORD","President of the United States","StateWide","Independent","NADER                    , RALPH","302","0","0","","","","","","","","",""
"2008 General Election","BRADFORD","President of the United States","StateWide","Libertarian","BARR                     , BOB","122","0","0","","","","","","","","",""
"2008 General Election","BUCKS","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","179,031","0","0","","","","","","","","",""
"2008 General Election","BUCKS","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","150,248","0","0","","","","","","","","",""
"2008 General Election","BUCKS","President of the United States","StateWide","Independent","NADER                    , RALPH","2,405","0","0","","","","","","","","",""
"2008 General Election","BUCKS","President of the United States","StateWide","Libertarian","BARR                     , BOB","1,240","0","0","","","","","","","","",""
"2008 General Election","BUTLER","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","32,260","0","0","","","","","","","","",""
"2008 General Election","BUTLER","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","57,074","0","0","","","","","","","","",""
"2008 General Election","BUTLER","President of the United States","StateWide","Independent","NADER                    , RALPH","722","0","0","","","","","","","","",""
"2008 General Election","BUTLER","President of the United States","StateWide","Libertarian","BARR                     , BOB","369","0","0","","","","","","","","",""
"2008 General Election","CAMBRIA","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","32,451","0","0","","","","","","","","",""
"2008 General Election","CAMBRIA","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","31,995","0","0","","","","","","","","",""
"2008 General Election","CAMBRIA","President of the United States","StateWide","Independent","NADER                    , RALPH","905","0","0","","","","","","","","",""
"2008 General Election","CAMBRIA","President of the United States","StateWide","Libertarian","BARR                     , BOB","319","0","0","","","","","","","","",""
"2008 General Election","CAMERON","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","879","0","0","","","","","","","","",""
"2008 General Election","CAMERON","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","1,323","0","0","","","","","","","","",""
"2008 General Election","CAMERON","President of the United States","StateWide","Independent","NADER                    , RALPH","34","0","0","","","","","","","","",""
"2008 General Election","CAMERON","President of the United States","StateWide","Libertarian","BARR                     , BOB","9","0","0","","","","","","","","",""
"2008 General Election","CARBON","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","13,464","0","0","","","","","","","","",""
"2008 General Election","CARBON","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","12,957","0","0","","","","","","","","",""
"2008 General Election","CARBON","President of the United States","StateWide","Independent","NADER                    , RALPH","379","0","0","","","","","","","","",""
"2008 General Election","CARBON","President of the United States","StateWide","Libertarian","BARR                     , BOB","123","0","0","","","","","","","","",""
"2008 General Election","CENTRE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","41,950","0","0","","","","","","","","",""
"2008 General Election","CENTRE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","32,992","0","0","","","","","","","","",""
"2008 General Election","CENTRE","President of the United States","StateWide","Independent","NADER                    , RALPH","488","0","0","","","","","","","","",""
"2008 General Election","CENTRE","President of the United States","StateWide","Libertarian","BARR                     , BOB","333","0","0","","","","","","","","",""
"2008 General Election","CHESTER","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","137,833","0","0","","","","","","","","",""
"2008 General Election","CHESTER","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","114,421","0","0","","","","","","","","",""
"2008 General Election","CHESTER","President of the United States","StateWide","Independent","NADER                    , RALPH","1,230","0","0","","","","","","","","",""
"2008 General Election","CHESTER","President of the United States","StateWide","Libertarian","BARR                     , BOB","870","0","0","","","","","","","","",""
"2008 General Election","CLARION","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","6,756","0","0","","","","","","","","",""
"2008 General Election","CLARION","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","10,737","0","0","","","","","","","","",""
"2008 General Election","CLARION","President of the United States","StateWide","Independent","NADER                    , RALPH","169","0","0","","","","","","","","",""
"2008 General Election","CLARION","President of the United States","StateWide","Libertarian","BARR                     , BOB","104","0","0","","","","","","","","",""
"2008 General Election","CLEARFIELD","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","14,555","0","0","","","","","","","","",""
"2008 General Election","CLEARFIELD","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","18,662","0","0","","","","","","","","",""
"2008 General Election","CLEARFIELD","President of the United States","StateWide","Independent","NADER                    , RALPH","443","0","0","","","","","","","","",""
"2008 General Election","CLEARFIELD","President of the United States","StateWide","Libertarian","BARR                     , BOB","153","0","0","","","","","","","","",""
"2008 General Election","CLINTON","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","7,097","0","0","","","","","","","","",""
"2008 General Election","CLINTON","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","7,504","0","0","","","","","","","","",""
"2008 General Election","CLINTON","President of the United States","StateWide","Independent","NADER                    , RALPH","136","0","0","","","","","","","","",""
"2008 General Election","CLINTON","President of the United States","StateWide","Libertarian","BARR                     , BOB","54","0","0","","","","","","","","",""
"2008 General Election","COLUMBIA","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","13,230","0","0","","","","","","","","",""
"2008 General Election","COLUMBIA","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","14,477","0","0","","","","","","","","",""
"2008 General Election","COLUMBIA","President of the United States","StateWide","Independent","NADER                    , RALPH","264","0","0","","","","","","","","",""
"2008 General Election","COLUMBIA","President of the United States","StateWide","Libertarian","BARR                     , BOB","92","0","0","","","","","","","","",""
"2008 General Election","CRAWFORD","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","16,780","0","0","","","","","","","","",""
"2008 General Election","CRAWFORD","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","20,750","0","0","","","","","","","","",""
"2008 General Election","CRAWFORD","President of the United States","StateWide","Independent","NADER                    , RALPH","437","0","0","","","","","","","","",""
"2008 General Election","CRAWFORD","President of the United States","StateWide","Libertarian","BARR                     , BOB","167","0","0","","","","","","","","",""
"2008 General Election","CUMBERLAND","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","48,306","0","0","","","","","","","","",""
"2008 General Election","CUMBERLAND","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","63,739","0","0","","","","","","","","",""
"2008 General Election","CUMBERLAND","President of the United States","StateWide","Independent","NADER                    , RALPH","789","0","0","","","","","","","","",""
"2008 General Election","CUMBERLAND","President of the United States","StateWide","Libertarian","BARR                     , BOB","470","0","0","","","","","","","","",""
"2008 General Election","DAUPHIN","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","69,975","0","0","","","","","","","","",""
"2008 General Election","DAUPHIN","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","58,238","0","0","","","","","","","","",""
"2008 General Election","DAUPHIN","President of the United States","StateWide","Independent","NADER                    , RALPH","816","0","0","","","","","","","","",""
"2008 General Election","DAUPHIN","President of the United States","StateWide","Libertarian","BARR                     , BOB","500","0","0","","","","","","","","",""
"2008 General Election","DELAWARE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","178,870","0","0","","","","","","","","",""
"2008 General Election","DELAWARE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","115,273","0","0","","","","","","","","",""
"2008 General Election","DELAWARE","President of the United States","StateWide","Independent","NADER                    , RALPH","1,955","0","0","","","","","","","","",""
"2008 General Election","DELAWARE","President of the United States","StateWide","Libertarian","BARR                     , BOB","906","0","0","","","","","","","","",""
"2008 General Election","ELK","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","7,290","0","0","","","","","","","","",""
"2008 General Election","ELK","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","6,676","0","0","","","","","","","","",""
"2008 General Election","ELK","President of the United States","StateWide","Independent","NADER                    , RALPH","220","0","0","","","","","","","","",""
"2008 General Election","ELK","President of the United States","StateWide","Libertarian","BARR                     , BOB","85","0","0","","","","","","","","",""
"2008 General Election","ERIE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","75,775","0","0","","","","","","","","",""
"2008 General Election","ERIE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","50,351","0","0","","","","","","","","",""
"2008 General Election","ERIE","President of the United States","StateWide","Independent","NADER                    , RALPH","1,167","0","0","","","","","","","","",""
"2008 General Election","ERIE","President of the United States","StateWide","Libertarian","BARR                     , BOB","398","0","0","","","","","","","","",""
"2008 General Election","FAYETTE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","25,866","0","0","","","","","","","","",""
"2008 General Election","FAYETTE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","26,081","0","0","","","","","","","","",""
"2008 General Election","FAYETTE","President of the United States","StateWide","Independent","NADER                    , RALPH","456","0","0","","","","","","","","",""
"2008 General Election","FAYETTE","President of the United States","StateWide","Libertarian","BARR                     , BOB","157","0","0","","","","","","","","",""
"2008 General Election","FOREST","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","1,038","0","0","","","","","","","","",""
"2008 General Election","FOREST","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","1,366","0","0","","","","","","","","",""
"2008 General Election","FOREST","President of the United States","StateWide","Independent","NADER                    , RALPH","30","0","0","","","","","","","","",""
"2008 General Election","FOREST","President of the United States","StateWide","Libertarian","BARR                     , BOB","10","0","0","","","","","","","","",""
"2008 General Election","FRANKLIN","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","21,169","0","0","","","","","","","","",""
"2008 General Election","FRANKLIN","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","41,906","0","0","","","","","","","","",""
"2008 General Election","FRANKLIN","President of the United States","StateWide","Independent","NADER                    , RALPH","370","0","0","","","","","","","","",""
"2008 General Election","FRANKLIN","President of the United States","StateWide","Libertarian","BARR                     , BOB","196","0","0","","","","","","","","",""
"2008 General Election","FULTON","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","1,576","0","0","","","","","","","","",""
"2008 General Election","FULTON","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","4,642","0","0","","","","","","","","",""
"2008 General Election","FULTON","President of the United States","StateWide","Independent","NADER                    , RALPH","57","0","0","","","","","","","","",""
"2008 General Election","FULTON","President of the United States","StateWide","Libertarian","BARR                     , BOB","31","0","0","","","","","","","","",""
"2008 General Election","GREENE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","7,829","0","0","","","","","","","","",""
"2008 General Election","GREENE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","7,889","0","0","","","","","","","","",""
"2008 General Election","GREENE","President of the United States","StateWide","Independent","NADER                    , RALPH","219","0","0","","","","","","","","",""
"2008 General Election","GREENE","President of the United States","StateWide","Libertarian","BARR                     , BOB","39","0","0","","","","","","","","",""
"2008 General Election","HUNTINGDON","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","6,621","0","0","","","","","","","","",""
"2008 General Election","HUNTINGDON","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","11,745","0","0","","","","","","","","",""
"2008 General Election","HUNTINGDON","President of the United States","StateWide","Independent","NADER                    , RALPH","196","0","0","","","","","","","","",""
"2008 General Election","HUNTINGDON","President of the United States","StateWide","Libertarian","BARR                     , BOB","70","0","0","","","","","","","","",""
"2008 General Election","INDIANA","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","17,065","0","0","","","","","","","","",""
"2008 General Election","INDIANA","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","19,727","0","0","","","","","","","","",""
"2008 General Election","INDIANA","President of the United States","StateWide","Independent","NADER                    , RALPH","357","0","0","","","","","","","","",""
"2008 General Election","INDIANA","President of the United States","StateWide","Libertarian","BARR                     , BOB","153","0","0","","","","","","","","",""
"2008 General Election","JEFFERSON","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","6,447","0","0","","","","","","","","",""
"2008 General Election","JEFFERSON","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","12,057","0","0","","","","","","","","",""
"2008 General Election","JEFFERSON","President of the United States","StateWide","Independent","NADER                    , RALPH","192","0","0","","","","","","","","",""
"2008 General Election","JEFFERSON","President of the United States","StateWide","Libertarian","BARR                     , BOB","106","0","0","","","","","","","","",""
"2008 General Election","JUNIATA","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","3,068","0","0","","","","","","","","",""
"2008 General Election","JUNIATA","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","6,484","0","0","","","","","","","","",""
"2008 General Election","JUNIATA","President of the United States","StateWide","Independent","NADER                    , RALPH","107","0","0","","","","","","","","",""
"2008 General Election","JUNIATA","President of the United States","StateWide","Libertarian","BARR                     , BOB","52","0","0","","","","","","","","",""
"2008 General Election","LACKAWANNA","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","67,520","0","0","","","","","","","","",""
"2008 General Election","LACKAWANNA","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","39,488","0","0","","","","","","","","",""
"2008 General Election","LACKAWANNA","President of the United States","StateWide","Independent","NADER                    , RALPH","702","0","0","","","","","","","","",""
"2008 General Election","LACKAWANNA","President of the United States","StateWide","Libertarian","BARR                     , BOB","166","0","0","","","","","","","","",""
"2008 General Election","LANCASTER","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","99,586","0","0","","","","","","","","",""
"2008 General Election","LANCASTER","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","126,568","0","0","","","","","","","","",""
"2008 General Election","LANCASTER","President of the United States","StateWide","Independent","NADER                    , RALPH","1,218","0","0","","","","","","","","",""
"2008 General Election","LANCASTER","President of the United States","StateWide","Libertarian","BARR                     , BOB","765","0","0","","","","","","","","",""
"2008 General Election","LAWRENCE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","19,711","0","0","","","","","","","","",""
"2008 General Election","LAWRENCE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","21,851","0","0","","","","","","","","",""
"2008 General Election","LAWRENCE","President of the United States","StateWide","Independent","NADER                    , RALPH","395","0","0","","","","","","","","",""
"2008 General Election","LAWRENCE","President of the United States","StateWide","Libertarian","BARR                     , BOB","146","0","0","","","","","","","","",""
"2008 General Election","LEBANON","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","23,310","0","0","","","","","","","","",""
"2008 General Election","LEBANON","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","34,314","0","0","","","","","","","","",""
"2008 General Election","LEBANON","President of the United States","StateWide","Independent","NADER                    , RALPH","449","0","0","","","","","","","","",""
"2008 General Election","LEBANON","President of the United States","StateWide","Libertarian","BARR                     , BOB","224","0","0","","","","","","","","",""
"2008 General Election","LEHIGH","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","87,089","0","0","","","","","","","","",""
"2008 General Election","LEHIGH","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","63,382","0","0","","","","","","","","",""
"2008 General Election","LEHIGH","President of the United States","StateWide","Independent","NADER                    , RALPH","1,477","0","0","","","","","","","","",""
"2008 General Election","LEHIGH","President of the United States","StateWide","Libertarian","BARR                     , BOB","525","0","0","","","","","","","","",""
"2008 General Election","LUZERNE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","72,492","0","0","","","","","","","","",""
"2008 General Election","LUZERNE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","61,127","0","0","","","","","","","","",""
"2008 General Election","LUZERNE","President of the United States","StateWide","Independent","NADER                    , RALPH","1,139","0","0","","","","","","","","",""
"2008 General Election","LUZERNE","President of the United States","StateWide","Libertarian","BARR                     , BOB","417","0","0","","","","","","","","",""
"2008 General Election","LYCOMING","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","18,381","0","0","","","","","","","","",""
"2008 General Election","LYCOMING","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","30,280","0","0","","","","","","","","",""
"2008 General Election","LYCOMING","President of the United States","StateWide","Independent","NADER                    , RALPH","383","0","0","","","","","","","","",""
"2008 General Election","LYCOMING","President of the United States","StateWide","Libertarian","BARR                     , BOB","193","0","0","","","","","","","","",""
"2008 General Election","McKEAN","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","6,465","0","0","","","","","","","","",""
"2008 General Election","McKEAN","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","9,224","0","0","","","","","","","","",""
"2008 General Election","McKEAN","President of the United States","StateWide","Independent","NADER                    , RALPH","200","0","0","","","","","","","","",""
"2008 General Election","McKEAN","President of the United States","StateWide","Libertarian","BARR                     , BOB","58","0","0","","","","","","","","",""
"2008 General Election","MERCER","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","26,411","0","0","","","","","","","","",""
"2008 General Election","MERCER","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","26,565","0","0","","","","","","","","",""
"2008 General Election","MERCER","President of the United States","StateWide","Independent","NADER                    , RALPH","611","0","0","","","","","","","","",""
"2008 General Election","MERCER","President of the United States","StateWide","Libertarian","BARR                     , BOB","234","0","0","","","","","","","","",""
"2008 General Election","MIFFLIN","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","5,375","0","0","","","","","","","","",""
"2008 General Election","MIFFLIN","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","10,929","0","0","","","","","","","","",""
"2008 General Election","MIFFLIN","President of the United States","StateWide","Independent","NADER                    , RALPH","157","0","0","","","","","","","","",""
"2008 General Election","MIFFLIN","President of the United States","StateWide","Libertarian","BARR                     , BOB","41","0","0","","","","","","","","",""
"2008 General Election","MONROE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","39,453","0","0","","","","","","","","",""
"2008 General Election","MONROE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","28,293","0","0","","","","","","","","",""
"2008 General Election","MONROE","President of the United States","StateWide","Independent","NADER                    , RALPH","498","0","0","","","","","","","","",""
"2008 General Election","MONROE","President of the United States","StateWide","Libertarian","BARR                     , BOB","199","0","0","","","","","","","","",""
"2008 General Election","MONTGOMERY","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","253,393","0","0","","","","","","","","",""
"2008 General Election","MONTGOMERY","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","165,552","0","0","","","","","","","","",""
"2008 General Election","MONTGOMERY","President of the United States","StateWide","Independent","NADER                    , RALPH","2,091","0","0","","","","","","","","",""
"2008 General Election","MONTGOMERY","President of the United States","StateWide","Libertarian","BARR                     , BOB","1,383","0","0","","","","","","","","",""
"2008 General Election","MONTOUR","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","3,364","0","0","","","","","","","","",""
"2008 General Election","MONTOUR","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","4,574","0","0","","","","","","","","",""
"2008 General Election","MONTOUR","President of the United States","StateWide","Independent","NADER                    , RALPH","67","0","0","","","","","","","","",""
"2008 General Election","MONTOUR","President of the United States","StateWide","Libertarian","BARR                     , BOB","18","0","0","","","","","","","","",""
"2008 General Election","NORTHAMPTON","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","75,255","0","0","","","","","","","","",""
"2008 General Election","NORTHAMPTON","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","58,551","0","0","","","","","","","","",""
"2008 General Election","NORTHAMPTON","President of the United States","StateWide","Independent","NADER                    , RALPH","1,253","0","0","","","","","","","","",""
"2008 General Election","NORTHAMPTON","President of the United States","StateWide","Libertarian","BARR                     , BOB","528","0","0","","","","","","","","",""
"2008 General Election","NORTHUMBERLAND","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","14,329","0","0","","","","","","","","",""
"2008 General Election","NORTHUMBERLAND","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","19,018","0","0","","","","","","","","",""
"2008 General Election","NORTHUMBERLAND","President of the United States","StateWide","Independent","NADER                    , RALPH","415","0","0","","","","","","","","",""
"2008 General Election","NORTHUMBERLAND","President of the United States","StateWide","Libertarian","BARR                     , BOB","177","0","0","","","","","","","","",""
"2008 General Election","PERRY","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","6,396","0","0","","","","","","","","",""
"2008 General Election","PERRY","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","13,058","0","0","","","","","","","","",""
"2008 General Election","PERRY","President of the United States","StateWide","Independent","NADER                    , RALPH","198","0","0","","","","","","","","",""
"2008 General Election","PERRY","President of the United States","StateWide","Libertarian","BARR                     , BOB","93","0","0","","","","","","","","",""
"2008 General Election","PHILADELPHIA","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","595,980","0","0","","","","","","","","",""
"2008 General Election","PHILADELPHIA","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","117,221","0","0","","","","","","","","",""
"2008 General Election","PHILADELPHIA","President of the United States","StateWide","Independent","NADER                    , RALPH","3,071","0","0","","","","","","","","",""
"2008 General Election","PHILADELPHIA","President of the United States","StateWide","Libertarian","BARR                     , BOB","1,057","0","0","","","","","","","","",""
"2008 General Election","PIKE","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","11,493","0","0","","","","","","","","",""
"2008 General Election","PIKE","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","12,518","0","0","","","","","","","","",""
"2008 General Election","PIKE","President of the United States","StateWide","Independent","NADER                    , RALPH","186","0","0","","","","","","","","",""
"2008 General Election","PIKE","President of the United States","StateWide","Libertarian","BARR                     , BOB","87","0","0","","","","","","","","",""
"2008 General Election","POTTER","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","2,300","0","0","","","","","","","","",""
"2008 General Election","POTTER","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","5,109","0","0","","","","","","","","",""
"2008 General Election","POTTER","President of the United States","StateWide","Independent","NADER                    , RALPH","63","0","0","","","","","","","","",""
"2008 General Election","POTTER","President of the United States","StateWide","Libertarian","BARR                     , BOB","35","0","0","","","","","","","","",""
"2008 General Election","SCHUYLKILL","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","28,300","0","0","","","","","","","","",""
"2008 General Election","SCHUYLKILL","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","33,767","0","0","","","","","","","","",""
"2008 General Election","SCHUYLKILL","President of the United States","StateWide","Independent","NADER                    , RALPH","702","0","0","","","","","","","","",""
"2008 General Election","SCHUYLKILL","President of the United States","StateWide","Libertarian","BARR                     , BOB","288","0","0","","","","","","","","",""
"2008 General Election","SNYDER","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","5,382","0","0","","","","","","","","",""
"2008 General Election","SNYDER","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","9,900","0","0","","","","","","","","",""
"2008 General Election","SNYDER","President of the United States","StateWide","Independent","NADER                    , RALPH","139","0","0","","","","","","","","",""
"2008 General Election","SNYDER","President of the United States","StateWide","Libertarian","BARR                     , BOB","58","0","0","","","","","","","","",""
"2008 General Election","SOMERSET","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","12,878","0","0","","","","","","","","",""
"2008 General Election","SOMERSET","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","21,686","0","0","","","","","","","","",""
"2008 General Election","SOMERSET","President of the United States","StateWide","Independent","NADER                    , RALPH","401","0","0","","","","","","","","",""
"2008 General Election","SOMERSET","President of the United States","StateWide","Libertarian","BARR                     , BOB","203","0","0","","","","","","","","",""
"2008 General Election","SULLIVAN","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","1,233","0","0","","","","","","","","",""
"2008 General Election","SULLIVAN","President of the United States","StateWide","Republican","MCCAIN                   , JOHN","1,841","0","0","","","","","","","","",""
"2008 General Election","SULLIVAN","President of the United States","StateWide","Independent","NADER                    , RALPH","32","0","0","","","","","","","","",""
"2008 General Election","SULLIVAN","President of the United States","StateWide","Libertarian","BARR                     , BOB","14","0","0","","","","","","","","",""
"2008 General Election","SUSQUEHANNA","President of the United States","StateWide","Democratic","OBAMA                    , BARACK","8,381","0","0","","","","","","","","",""
